x,Curve1
8.75472,9.01786
8.89783,8.91071
9.03957,9.37946
9.15488,8.95089
9.18284,9.20536
9.20979,9.88839
9.2536,9.48661
9.25383,9.39286
9.25418,9.24554
9.36901,9.01786
9.39617,9.60714
9.39649,9.47321
9.39707,9.23214
9.41173,9.07143
9.46585,10.3437
9.54011,9.15179
9.63906,9.59375
9.63925,9.51339
9.69774,8.95089
9.84027,9.08482
9.86649,10.0759
9.86712,9.80804
10.024,9.92857
10.0933,10.7991
10.2518,10.2634
10.2944,10.3705
10.2979,8.87054
10.394,10.5179
10.4509,10.6384
10.522,10.7723
10.5223,10.6518
10.5919,11.4152
10.595,10.1027
10.6097,9.92857
10.8355,11.1071
10.8635,11.3482
10.952,10.1429
10.9926,11.0937
11.0519,10.183
11.0656,10.4643
11.2345,11.4955
11.2904,12.0179
11.5195,11.8036
11.7045,12.0982
12.1455,12.8884
12.2203,11.4821
12.3317,12.7009
12.3619,11.9911
12.4896,12.3527
12.547,12.2589
12.7021,13.1295
12.7027,12.875
